"faceName","img1Name","img2Name","img3Name","intactImageLocation","isSeen","response_face_key_response","response_image_key_response"
"High_Disgust_Sad_Right_Male_Face.png","High_Disgust_Sad_Right_Male_New.png","High_Disgust_Sad_Right_Male_Rearranged.png","High_Disgust_Sad_Right_Male_Intact.png","3","DOĞRU","f","3"
"High_Sad_Disgust_Left_Fem_Face.png","High_Sad_Disgust_Left_Fem_Rearranged.png","High_Sad_Disgust_Left_Fem_New.jpeg","High_Sad_Disgust_Left_Fem_Intact.png","3","DOĞRU","f","1"
"Cong_Disgust_Disgust_Left_Fem_Face.png","Cong_Disgust_Disgust_Left_Fem_Intact.png","Cong_Disgust_Disgust_Left_Fem_Intact.png","Cong_Disgust_Disgust_Left_Fem_Rearranged.png","2","DOĞRU","j","1"
"getimg_ai_img-SJZOQZqbQkNOIU5TPno2b_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-D56Qq7eCVezw2XMCDqHqI_new.png","-","-","-","1","YANLIŞ","j","1"
"High_Sad_Disgust_Right_Male_Face.png","High_Sad_Disgust_Right_Male_New.png","High_Sad_Disgust_Right_Male_Rearranged.png","High_Sad_Disgust_Right_Male_Intact.png","3","DOĞRU","f","2"
"getimg_ai_img-KChJyO5QNVLMJiKuny5U6_new.png","-","-","-","1","YANLIŞ","j","2"
"Low_Fear_Anger_Left_Male_Face.png","Low_Fear_Anger_Left_Male_Rearranged.png","Low_Fear_Anger_Left_Male_New.png","Low_Fear_Anger_Left_Male_Intact.png","3","DOĞRU","f","2"
"getimg_ai_img-2Er1XbHkNB3a0bT6hLITM_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-0pz9Z9MOgCkvqNt47eSqp_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-dfeepivQt1yud9hjN1rSW_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Fear_Fear_Left_Fem_Face.png","Cong_Fear_Fear_Left_Fem_Intact.jpeg","Cong_Fear_Fear_Left_Fem_New.jpeg","Cong_Fear_Fear_Left_Fem_Rearranged.png","1","DOĞRU","f","3"
"Low_Anger_Sad_Left_Fem_Face.png","Low_Anger_Sad_Left_Fem_Rearranged.png","Low_Anger_Sad_Left_Fem_New.png","Low_Anger_Sad_Left_Fem_Intact.png","3","DOĞRU","j","3"
"getimg_ai_img-40M8AiN231hKvWnyJyHP6_new.png","-","-","-","1","YANLIŞ","j","3"
"High_Anger_Disgust_Right_Fem_Face.png","High_Anger_Disgust_Right_Fem_Intact.png","High_Anger_Disgust_Right_Fem_Rearranged.png","High_Anger_Disgust_Right_Fem_New.png","1","DOĞRU","j","3"
"Cong_Sad_Sad_Left_Male_Face.png","Cong_Sad_Sad_Left_Male_Rearranged.jpeg","Cong_Sad_Sad_Left_Male_New.png","Cong_Sad_Sad_Left_Male_Intact.png","3","DOĞRU","j","3"
"getimg_ai_img-4rSQIjuYdhWu8EDmgiXmc_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-DwbFVO40apU7lAK2MeJ4k_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-VVS0BKUVmpbdFGnR4DWuR_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-k8BlO1i1slisSCDvnEJJo_new.png","-","-","-","1","YANLIŞ","j","3"
"Cong_Fear_Fear_Left_Male_Face.png","Cong_Fear_Fear_Left_Male_Intact.jpeg","Cong_Fear_Fear_Left_Male_Rearranged.jpeg","Cong_Fear_Fear_Left_Male_New.jpeg","1","DOĞRU","f","2"
"getimg_ai_img-o2h2PlDKQDPgPa0shq0QK_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-mymQsxpm11SFA87jmNAFU_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-DJOIk6LLMcKeQAAzQo9Hw_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-8ocFS1Ko7OuksO1EhFrtd_new.png","-","-","-","1","YANLIŞ","f","2"
"Low_Fear_Anger_Left_Fem_Face.png","Low_Fear_Anger_Left_Fem_Intact.png","Low_Fear_Anger_Left_Fem_Rearranged.png","Low_Fear_Anger_Left_Fem_New.jpeg","1","DOĞRU","j","2"
"getimg_ai_img-fswSAo9DGY6wM89tEU2Ue_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Sad_Sad_Left_Fem_Face.png","Cong_Sad_Sad_Left_Fem_Rearranged.png","Cong_Sad_Sad_Left_Fem_New.png","Cong_Sad_Sad_Left_Fem_Intact.jpeg","3","DOĞRU","f","1"
"High_Disgust_Sad_Left_Male_Face.png","High_Disgust_Sad_Left_Male_New.png","High_Disgust_Sad_Left_Male_Rearranged.png","High_Disgust_Sad_Left_Male_Intact.jpeg","3","DOĞRU","j","1"
